	Language	Family	Script	#Classes	Majority Baseline Accuracy	Random Baseline Accuracy SGD	SGD Accuracy	SGD Balanced Accuracy	SGD Sensitivity	Random Baseline Accuracy MLP	MLP Accuracy	MLP Balanced Accuracy	MLP Sensitivity
24	Polish	IE, Slavic	Latin	3	0.597096852890949	0.5028055623322761	0.7022444498658209	0.6701921574588393	0.0480780292669902	0.4828616735789217	0.7066967553061723	0.6805817710159837	0.0627765993975913
25	Portuguese	 IE, Romance	Latin	2	0.7997124784358827	0.7751581368602645	0.94401955146636	0.944167824961932	0.137343534001482	0.7797584818861415	0.9505462909718227	0.9496303592602552	0.1363481596232718
26	Romanian	IE, Romance	Latin	2	0.7654737459665591	0.6556174831328836	0.9266647110589616	0.923214413207623	0.1593895334064253	0.7031387503666764	0.9471985919624524	0.945484238811452	0.2515357642241529
27	Russian	IE, Slavic	Cyrillic	3	0.628460334918594	0.5129428531594193	0.7928059114216225	0.7834885495058618	0.1287849985732596	0.4723250662246526	0.7961055256920669	0.7918134423268791	0.1172861142140526
28	Serbian	IE, Slavic	Latin	3	0.7359531772575251	0.6011705685618729	0.8058528428093645	0.767222211924965	0.117559348369298	0.5904682274247491	0.8053511705685619	0.7572749009300894	0.2294821573473028
29	Slovak	IE, Slavic	Latin	3	0.5761333884525286	0.4293785310734463	0.6575719994488081	0.6061669485607633	0.0710893273459384	0.5319002342565798	0.6563318175554637	0.606105276888718	0.0736126706211685
30	Slovenian	IE, Slavic	Latin	3	0.5728668941979522	0.4145051194539249	0.6752559726962457	0.6500455762227024	-0.0015776095692994	0.4443686006825939	0.6830204778156996	0.6740099455298295	0.0047326073652633
31	Spanish	IE, Romance	Latin	2	0.8673000464708008	0.7847885578561471	0.9829607063561728	0.9826029315184708	0.1630006193386795	0.5845510404295967	0.985335880621676	0.9844727614380022	0.1280158036723224
32	Swedish	IE, Germanic	Latin	4	0.8480590961761297	0.7621668597914253	0.8967265353418308	0.61983148427641	0.1688740875835652	0.7746234067207416	0.9052723059096176	0.5953030737754874	0.3285039354593085
33	Tamil	 Dravidian	Tamil	3	0.8881453154875717	0.7915869980879541	0.8910133843212237	0.5605609332340532	0.2996253861535645	0.7753346080305927	0.8938814531548758	0.5733349880036402	0.294706006521802
44	Turkish German	Codeswitching	Latin	3	0.6587112171837709	0.645346062052506	0.7551312649164678	0.7237243420617036	-0.027073437322023	0.4797136038186158	0.6983293556085919	0.6471734007156287	-0.1032333643688824
34	Ukrainian	 IE, Slavic	Cyrillic	3	0.5882960857770314	0.4653145588425268	0.7607544244929596	0.7509833898771818	0.1256451427954699	0.4835292597855574	0.7673427205787366	0.7576384308186542	0.1869612491890908
