	Language	Family	Script	#Classes	Majority Baseline Accuracy	Random Baseline Accuracy SGD	SGD Accuracy	SGD Balanced Accuracy	SGD Sensitivity	Random Baseline Accuracy MLP	MLP Accuracy	MLP Balanced Accuracy	MLP Sensitivity
33	Slovak	IE, Slavic	Latin	7	0.4337460484720759	0.3673603793466807	0.547286617492097	0.5245514381453461	0.0524614645988869	0.3084826132771338	0.4787934668071654	0.415993239088799	0.0993046789758968
34	Slovenian	IE, Slavic	Latin	6	0.5164666051092643	0.3848876577408433	0.5794859956909818	0.5805920256222884	-0.0176761770941765	0.3441828254847645	0.5493228685749462	0.4931133592227186	0.1246707185867376
35	Spanish	IE, Romance	Latin	7	0.9215167548500882	0.9171075837742504	0.925925925925926	0.607585001015742	0.1913292807739149	0.8774250440917107	0.8253968253968254	0.4766377466771338	0.2981139646068359
36	Swedish	IE, Germanic	Latin	3	0.9777107643896684	0.9722040120624098	0.9858397797299068	0.8982222117364427	0.2438599896779104	0.9690572964468336	0.9834797430182248	0.8406415039298955	0.2681358795825336
37	Tamil	 Dravidian	Tamil	7	0.7874692874692875	0.5933660933660934	0.941031941031941	0.8568117977649349	0.4380543872069296	0.7027027027027027	0.85995085995086	0.5205839513632163	0.4875275892225045
38	Turkish	 Turkic, Southwestern	Latin	7	0.7408241387074983	0.6266606620130601	0.8671470389551903	0.7483258300704134	0.3161367871387277	0.6494032875478496	0.7980184643098401	0.4982688458922924	0.4187012551926907
47	Turkish German	Codeswitching	Latin	8	0.6755066839154809	0.6097455799913756	0.696852091418715	0.546700352972587	-0.0488187518869305	0.5610176800344976	0.6425183268650281	0.3916190377301928	0.0301714311871454
39	Ukrainian	 IE, Slavic	Cyrillic	7	0.53369140625	0.4111328125	0.60029296875	0.4683343535637022	0.0527829681702562	0.3833984375	0.56318359375	0.4162896230213739	0.1520872983125833
40	Urdu	 IE, Indic	Arabic	6	0.6916676571971948	0.6619517413526685	0.6702721977891358	0.8073149996877101	-0.1151526299833888	0.5068346606442411	0.6777606085819565	0.3408469970287849	0.0196490321940057
46	Uyghur	 Turkic, Southeastern	Arabic	6	0.8437075292198967	0.7132372927425931	0.8524055449850503	0.6500137455704279	0.4299466872890193	0.6757270997553683	0.7920630606142973	0.4651471142345058	0.3910950064032615
45	Wolof	 Niger-Congo, Northern Atlantic	Latin	3	0.7520080321285141	0.9698795180722892	0.9769076305220884	0.961456922217375	0.1709890345549487	0.8042168674698795	0.9548192771084336	0.9417257499231342	0.1747595310292702
